d,callv,putv,totv,otm_call_0dte
2024-05-13,439536,511595,951131,91401
2024-05-14,584299,674928,1259227,108877
2024-05-15,612136,664494,1276630,144431
2024-05-16,534528,486364,1020892,24790
2024-05-17,405081,538868,943949,60695
2024-05-20,476166,546127,1022293,69729
2024-05-21,488392,406362,894754,75923
2024-05-22,191888,182641,374529,60781
2024-05-23,735600,672916,1408516,357997
2024-05-24,566669,669846,1236515,72147
2024-05-28,477529,542281,1019810,99574
2024-05-29,650636,522084,1172720,205514
2024-05-30,598955,649095,1248050,188974
2024-05-31,811061,755350,1566411,526239
2024-06-03,597248,931538,1528786,412102
2024-06-04,630917,796726,1427643,267503
2024-06-05,652456,711580,1364036,170830
2024-06-06,475972,690645,1166617,114248
2024-06-07,683239,748554,1431793,194091
2024-06-10,408456,405480,813936,59375
2024-06-11,696106,530172,1226278,51536
2024-06-12,538557,524741,1063298,243988
2024-06-13,535722,705763,1241485,229420
2024-06-14,618424,757889,1376313,172745
2024-06-17,517634,589144,1106778,49748
2024-06-18,552773,583353,1136126,247932
2024-06-20,593247,640795,1234042,126713
2024-06-21,632055,717174,1349229,202489
2024-06-24,838529,763007,1601536,236334
2024-06-25,578489,550063,1128552,160959
2024-06-26,688135,476141,1164276,213346
2024-06-27,603284,681113,1284397,169553
2024-06-28,779464,823390,1602854,214264
2024-07-01,684421,863191,1547612,383182
2024-07-02,676426,700708,1377134,150895
2024-07-03,685870,659402,1345272,77877
2024-07-05,622276,658365,1280641,77611
2024-07-08,583465,591757,1175222,172017
2024-07-09,525559,602906,1128465,84549
2024-07-10,459620,454738,914358,115123
2024-07-11,741596,879547,1621143,511948
2024-07-12,928903,617007,1545910,150324
2024-07-15,720323,598965,1319288,97721
2024-07-16,784087,887243,1671330,265864
2024-07-17,803451,739182,1542633,332844
2024-07-18,950690,817023,1767713,540876
2024-07-19,740458,749442,1489900,359855
2024-07-22,888393,715390,1603783,176665
2024-07-23,779039,748837,1527876,244351
2024-07-24,917553,990714,1908267,582380
2024-07-25,1065547,1014237,2079784,374309
2024-07-26,945141,803337,1748478,411376
2024-07-29,910820,810105,1720925,653154
2024-07-30,671087,808043,1479130,470931
2024-07-31,661469,722454,1383923,302339
2024-08-01,1084519,1101209,2185728,1026702
2024-08-02,765290,1131880,1897170,684588
2024-08-05,426032,529913,955945,327765
2024-08-06,792548,689966,1482514,325833
2024-08-07,772076,817060,1589136,336885
2024-08-08,774504,681553,1456057,254661
2024-08-09,759940,828723,1588663,332319
2024-08-12,765167,724772,1489939,193438
2024-08-13,825914,821698,1647612,172541
2024-08-14,770718,725736,1496454,270628
2024-08-15,790677,773561,1564238,161461
2024-08-16,743283,639635,1382918,142361
2024-08-19,727547,633371,1360918,50557
2024-08-20,856103,809629,1665732,311062
2024-08-21,865848,765384,1631232,450320
2024-08-22,822304,751903,1574207,373455
2024-08-23,1068522,1098694,2167216,660543
2024-08-26,770105,748715,1518820,497203
2024-08-27,816909,711641,1528550,92872
2024-08-28,402538,400464,803002,236246
2024-08-29,762828,605970,1368798,87184
2024-08-30,681924,696270,1378194,370584
2024-09-03,928747,826411,1755158,739716
2024-09-04,822293,720578,1542871,259101
2024-09-05,822733,830037,1652770,591624
2024-09-06,928734,1190707,2119441,675408
2024-09-09,603311,849406,1452717,322427
2024-09-10,591461,897869,1489330,246363
2024-09-11,967395,996988,1964383,784251
2024-09-12,911331,1014991,1926322,541911
2024-09-13,961608,872991,1834599,237531
2024-09-16,723149,969462,1692611,276217
2024-09-17,799223,884959,1684182,171898
2024-09-18,245806,370816,616622,123200
2024-09-19,758015,1006925,1764940,287508
2024-09-20,650347,742225,1392572,324701
2024-09-23,630672,658962,1289634,107884
2024-09-24,781553,763422,1544975,102191
2024-09-25,559368,657690,1217058,81604
2024-09-26,737116,906783,1643899,497955
2024-09-27,518582,700031,1218613,80291
2024-09-30,420412,636068,1056480,73963
2024-10-01,991957,944101,1936058,657313
2024-10-02,742121,899432,1641553,179366
2024-10-03,829732,945469,1775201,434438
2024-10-04,864439,1007968,1872407,251063
2024-10-07,514185,699139,1213324,153137
2024-10-08,667075,815104,1482179,99775
2024-10-09,553831,664429,1218260,45299
2024-10-10,593166,718081,1311247,193175
2024-10-11,753459,856228,1609687,170873
2024-10-14,547084,576694,1123778,126133
2024-10-15,639199,903645,1542844,381728
2024-10-16,676694,660196,1336890,233316
2024-10-17,617588,631429,1249017,182623
2024-10-18,561415,534795,1096210,98264
2024-10-21,543751,717490,1261241,152783
2024-10-22,646376,583124,1229500,102268
2024-10-23,709419,618485,1327904,165611
2024-10-24,649481,506205,1155686,216041
2024-10-25,698131,707856,1405987,94245
2024-10-28,467094,606964,1074058,133465
2024-10-29,689655,690714,1380369,115255
2024-10-30,600079,689626,1289705,149521
2024-10-31,855962,768851,1624813,713340
2024-11-01,973014,901794,1874808,203462
2024-11-04,653387,682250,1335637,188820
2024-11-05,894895,909429,1804324,233871
2024-11-06,749195,859679,1608874,375109
2024-11-07,531253,441981,973234,159611
2024-11-08,749231,580022,1329253,87143
2024-11-11,539585,557402,1096987,82715
2024-11-12,579500,686828,1266328,154870
2024-11-13,722401,811620,1534021,89745
2024-11-14,671927,828303,1500230,120337
2024-11-15,1021863,1258438,2280301,650933
2024-11-18,841450,594307,1435757,73469
2024-11-19,893820,837856,1731676,103853
2024-11-20,739516,787931,1527447,335770
2024-11-21,1026530,988764,2015294,291385
2024-11-22,1011554,882399,1893953,207081
2024-11-25,998567,1029642,2028209,452246
2024-11-26,743070,969723,1712793,63926
2024-11-27,714342,870453,1584795,243699
2024-11-29,682672,645694,1328366,18424
2024-12-02,686250,728847,1415097,89061
2024-12-03,510031,719860,1229891,74500
2024-12-04,559204,680329,1239533,20396
2024-12-05,528591,585482,1114073,38234
2024-12-06,529007,579987,1108994,40361
2024-12-09,543687,744713,1288400,125038
2024-12-10,597608,555166,1152774,63420
2024-12-11,627313,641399,1268712,52048
2024-12-12,644743,775725,1420468,63199
2024-12-13,895997,893354,1789351,470398
2024-12-16,667363,625342,1292705,24474
2024-12-17,611161,732668,1343829,50752
2024-12-18,472047,357121,829168,78903
2024-12-19,774708,825774,1600482,469386
2024-12-20,892044,838497,1730541,193280
2024-12-23,804375,838075,1642450,399952
2024-12-24,1254557,677005,1931562,26341
2024-12-26,925742,567794,1493536,173349
2024-12-27,1157939,1222005,2379944,782961
2024-12-30,1021359,1084156,2105515,392135
2024-12-31,930990,813957,1744947,544315
2025-01-02,1136829,934529,2071358,612806
2025-01-03,1061723,928336,1990059,233762
2025-01-06,1022186,800672,1822858,137077
2025-01-07,1285130,1271118,2556248,726989
2025-01-08,748028,1000729,1748757,263115
2025-01-10,1152319,1439987,2592306,825695
2025-01-13,985461,1121540,2107001,343492
2025-01-14,1044136,855010,1899146,713015
2025-01-15,1036922,996241,2033163,286604
2025-01-16,766649,940948,1707597,180107
2025-01-17,1019326,967127,1986453,86518
2025-01-21,892267,969264,1861531,313911
2025-01-22,741072,694850,1435922,122360
2025-01-23,577927,593272,1171199,24833
2025-01-24,672803,655280,1328083,110516
2025-01-27,787799,780913,1568712,246802
2025-01-28,895081,860435,1755516,70523
2025-01-29,507207,471116,978323,211674
2025-01-30,884974,752206,1637180,620933
2025-01-31,739519,734509,1474028,91797
2025-02-03,1181169,1175449,2356618,229453
2025-02-04,896529,683988,1580517,199481
2025-02-05,811321,688858,1500179,172924
2025-02-06,769090,736343,1505433,251492
2025-02-07,1095103,1028081,2123184,817545
2025-02-10,755588,779420,1535008,41815
2025-02-11,584936,612526,1197462,66521
2025-02-12,973193,882024,1855217,121003
2025-02-13,888682,746603,1635285,44762
2025-02-14,795767,720240,1516007,107257
2025-02-18,796983,644823,1441806,83868
2025-02-19,591848,507909,1099757,47171
2025-02-20,1156103,937118,2093221,617551
2025-02-21,979562,862765,1842327,316031
2025-02-24,974117,1209775,2183892,540508
2025-02-25,1038692,1178162,2216854,764611
2025-02-26,877211,714596,1591807,197304
2025-02-27,1001724,1313334,2315058,507494
2025-02-28,1136953,1024666,2161619,371005
2025-03-03,1067548,1029330,2096878,698692
2025-03-04,987032,1360514,2347546,748450
2025-03-05,845961,882285,1728246,603434
2025-03-06,1026038,1014709,2040747,406893
2025-03-07,1055145,1079173,2134318,816409
2025-03-10,1076770,1074302,2151072,831424
2025-03-11,1032814,1154706,2187520,917545
2025-03-12,1038415,1160467,2198882,924347
2025-03-13,873114,1094022,1967136,535722
2025-03-14,937075,1217638,2154713,260983
2025-03-17,1001583,1101495,2103078,441545
2025-03-18,917315,1037556,1954871,581674
2025-03-19,676583,701282,1377865,353325
2025-03-20,945601,1027957,1973558,257722
2025-03-21,973190,964042,1937232,323801
2025-03-24,853377,812842,1666219,106862
2025-03-25,818967,885720,1704687,157085
2025-03-26,814844,943365,1758209,272407
2025-03-27,926621,1040179,1966800,180821
2025-03-28,1017402,1267096,2284498,814602
2025-03-31,891517,1186139,2077656,398315
2025-04-01,1098397,1105953,2204350,243197
2025-04-02,758214,746013,1504227,288277
2025-04-03,905159,1107351,2012510,788488
2025-04-04,916790,1503407,2420197,771179
2025-04-07,759353,915591,1674944,433791
2025-04-08,868147,1003333,1871480,784622
2025-04-09,782141,906493,1688634,741306
2025-04-10,765472,896301,1661773,718110
2025-04-11,926181,961831,1888012,708771
2025-04-14,814334,872628,1686962,552245
2025-04-15,954278,1018411,1972689,554657
2025-04-16,699672,952333,1652005,337428
2025-04-17,892699,1261477,2154176,596597
2025-04-21,831506,1056310,1887816,642961
2025-04-22,1053866,899759,1953625,230183
2025-04-23,1128274,1041220,2169494,754284
2025-04-24,995150,1075364,2070514,263789
2025-04-25,1128826,1243220,2372046,654382
2025-04-28,994827,903239,1898066,549280
2025-04-29,1047059,922343,1969402,224699
2025-04-30,947180,1232733,2179913,293685
2025-05-01,977698,787328,1765026,199771
2025-05-02,1058641,1071975,2130616,247852
2025-05-05,910291,819540,1729831,181874
2025-05-06,959919,1018750,1978669,203932
2025-05-07,636378,599158,1235536,324818
2025-05-08,946827,766969,1713796,565745
2025-05-09,1089874,949300,2039174,605591
2025-05-12,1100357,906635,2006992,435318
2025-05-13,1169752,1041523,2211275,273662
2025-05-14,882229,748440,1630669,258194
2025-05-15,822312,751454,1573766,193786
2025-05-16,1000284,841424,1841708,284195
2025-05-19,1032760,894424,1927184,184601
2025-05-20,939880,708423,1648303,320063
2025-05-21,924886,698093,1622979,206307
2025-05-22,987816,899342,1887158,479858
2025-05-23,916810,839443,1756253,401706
2025-05-27,857295,683153,1540448,74699
2025-05-28,749773,610530,1360303,438512
2025-05-29,896512,754204,1650716,341853
2025-05-30,710116,742726,1452842,243465
2025-06-02,878758,838606,1717364,169980
2025-06-03,939201,622365,1561566,153344
2025-06-04,931236,805414,1736650,185103
2025-06-05,1054105,793110,1847215,195105
